2017-01-25 14:14:59,206 [12721730]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:14:59,343 [12721867]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:14:59,345 [12721869]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:01,990 [12724514]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:01,992 [12724516]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:02,138 [12724662]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:02,140 [12724664]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:05,023 [12727547]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 4, messages = 0 
2017-01-25 14:15:05,025 [12727549]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:05,161 [12727685]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:05,163 [12727687]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:08,034 [12730558]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:08,036 [12730560]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:08,178 [12730702]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:08,180 [12730704]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:11,052 [12733576]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:33,752 [12756276]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Communication.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:33,899 [12756423]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:33,901 [12756425]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Communication.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:36,883 [12759407]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:36,885 [12759409]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/Campaign.php --standard=PSR2 --encoding=utf-8 --report=xml 
2017-01-25 14:15:37,026 [12759550]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:37,028 [12759552]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpmd.bat D:/TEMP/___3.tmp/Campaign.php xml codesize,controversial,design,naming,unusedcode 
2017-01-25 14:15:39,930 [12762454]   INFO - lity.QualityToolProcessHandler - Process finished with exit code 0, stdout line count = 3, messages = 0 
2017-01-25 14:15:39,932 [12762456]   INFO - lity.QualityToolProcessCreator - Running external tool: C:\Users\Henry\AppData\Roaming\Composer\vendor\bin\phpcs.bat D:/TEMP/___3.tmp/CampaignTarget.php --standard=PSR2 --encoding=utf-8 --report=xml 
